2022-11-17T15:52:49.798157400Money Fed: $1 $1
2022-11-17T15:52:53.758163Money Fed: $1 $2
2022-11-17T15:52:59.429772800Money Fed: $5 $7
2022-11-17T15:53:11.681724100 Teaberry D1 $7 $5.35
2022-11-17T15:53:26.917295800 Singlemint Gum D3 $5.35 $3.00
2022-11-17T15:53:43.470986500 Popcorn C4 $3.00 $1.25
2022-11-17T15:53:46.580193900 CHANGE GIVEN $1.25 $0.00
2022-11-17T16:25:50.390011800 CHANGE GIVEN $0 $0.00
2022-11-17T16:26:11.465624700 MONEY FED: $5 $5
2022-11-17T16:26:34.753132200 Stackers B1 $5 $2.35
2022-11-17T16:26:55.652347800 Stackers B1 $2.35 $0.70
2022-11-18T07:38:04.836145400 MONEY FED: $20 $20
2022-11-18T07:38:55.580936 Chippos A4 $20 $16.15
2022-11-18T07:39:40.550116200 Chippos A4 $16.15 $13.30
2022-11-18T07:41:10.404795300 Chippos A4 $13.30 $9.45
2022-11-18T07:41:24.599284600 Snykkers A3 $9.45 $6.20
2022-11-18T07:41:33.172478600 Chippos A4 $6.20 $2.35
2022-11-18T07:41:53.176143800 Singlemint Gum D3 $2.35 $1.00
2022-11-18T07:42:37.449587800 CHANGE GIVEN $1.00 $0.00
2022-11-18T10:51:39.977808600 MONEY FED: $5 $5
2022-11-18T10:51:51.961920400 Papsi B2 $5 $1.55
2022-11-18T10:52:08.126565400 Popcorn C4 $1.55 $0.80
2022-11-18T10:52:18.461198500 CHANGE GIVEN $0.80 $0.00
2022-11-18T11:06:22.129545400 MONEY FED: $5 $5
2022-11-18T11:06:35.869159500 Snykkers A3 $5 $0.75
2022-11-18T11:06:41.419281500 CHANGE GIVEN $0.75 $0.00
2022-11-18T11:06:48.716027100 MONEY FED: $5 $5
2022-11-18T11:06:58.446350600 Snykkers A3 $5 $0.75
2022-11-18T11:07:06.915974500 CHANGE GIVEN $0.75 $0.00
2022-11-18T11:25:15.723982600 MONEY FED: $1 $1
2022-11-18T11:25:23.931069 MONEY FED: $5 $6
2022-11-18T11:25:30.773128600 U-Chews A1 $6 $4.35
2022-11-18T11:25:39.208898300 CHANGE GIVEN $4.35 $0.00
2022-11-18T11:32:08.145259 MONEY FED: $5 $5
2022-11-18T11:34:09.099662800 MONEY FED: $5 $5
2022-11-18T11:39:41.800600900 MONEY FED: $5 $5
2022-11-18T11:42:51.257374 MONEY FED: $5 $5
2022-11-18T11:53:16.317096100 MONEY FED: $5 $5
2022-11-18T11:55:38.325239200 MONEY FED: $5 $5
2022-11-18T11:55:38.330253300 Chippos A4 $5 $2.15
2022-11-18T12:03:01.604244700 MONEY FED: $5 $5
2022-11-18T12:03:01.608760100 Chippos A4 $5 $2.15
2022-11-18T12:03:14.080483200 MONEY FED: $1.65 $1.65
2022-11-18T12:03:14.089174100 U-Chews A1 $1.65 $1.00
2022-11-18T12:04:28.859369900 MONEY FED: $1.64 $1.64
2022-11-18T12:04:28.867312100 U-Chews A1 $1.64 $0.99
2022-11-18T12:06:05.414852100 MONEY FED: $0.64 $0.64
2022-11-18T12:06:47.403779100 MONEY FED: $0.65 $0.65
2022-11-18T12:08:50.046025900 MONEY FED: $0.65 $0.65
2022-11-18T12:09:57.674712800 MONEY FED: $5 $5
2022-11-18T12:11:28.839193600 MONEY FED: $0.65 $0.65
2022-11-18T12:13:43.233257700 MONEY FED: $0.65 $0.65
2022-11-18T12:13:43.238744200 U-Chews A1 $0.65 $0.00
2022-11-18T13:09:40.434805800 MONEY FED: $0.64 $0.64
2022-11-18T13:09:47.786640200 MONEY FED: $1.65 $1.65
2022-11-18T13:09:47.789641600 U-Chews A1 $1.65 $0.00
2022-11-18T13:10:25.593665600 MONEY FED: $1.64 $1.64
2022-11-18T13:10:30.177284200 MONEY FED: $5 $5
2022-11-18T13:10:30.180355200 Chippos A4 $5 $2.15
2022-11-18T13:10:30.188168 MONEY FED: $1.64 $1.64
2022-11-18T13:10:30.192756800 MONEY FED: $1.65 $1.65
2022-11-18T13:10:30.192756800 U-Chews A1 $1.65 $0.00
2022-11-18T13:10:30.204589600 MONEY FED: $0.64 $0.64
2022-11-18T13:10:30.210593900 MONEY FED: $0.65 $0.65
2022-11-18T13:10:30.211110100 U-Chews A1 $0.65 $0.00
2022-11-18T13:12:07.503292200 MONEY FED: $5 $5
2022-11-18T13:12:38.390239700 MONEY FED: $5 $5
2022-11-18T13:15:24.471717300 MONEY FED: $5 $5
2022-11-18T13:15:36.783375900 MONEY FED: $5 $5
2022-11-18T13:22:14.676327800 MONEY FED: $3.75 $3.75
2022-11-18T13:22:14.679403800 CHANGE GIVEN $3.75 $0.00
2022-11-18T13:24:02.346697 MONEY FED: $7.25 $7.25
2022-11-18T13:24:02.350272100 CHANGE GIVEN $7.25 $0.00
2022-11-18T13:25:40.051790500 MONEY FED: $3.75 $3.75
2022-11-18T13:25:40.054826800 CHANGE GIVEN $3.75 $0.00
2022-11-18T13:25:56.329516300 MONEY FED: $1.99 $1.99
2022-11-18T13:25:56.331518100 CHANGE GIVEN $1.99 $0.00
2022-11-18T13:26:24.136539900 MONEY FED: $1.99 $1.99
2022-11-18T13:26:24.146519100 CHANGE GIVEN $1.99 $0.00
2022-11-18T13:27:00.982300400 MONEY FED: $1.99 $1.99
2022-11-18T13:27:00.985798700 CHANGE GIVEN $1.99 $0.00
2022-11-18T13:27:16.843582500 MONEY FED: $5 $5
2022-11-18T13:27:16.850342800 MONEY FED: $5 $5
2022-11-18T13:27:16.851343700 Chippos A4 $5 $2.15
2022-11-18T13:27:16.852907800 MONEY FED: $1.64 $1.64
2022-11-18T13:27:16.855937200 MONEY FED: $5 $5
2022-11-18T13:27:16.859026100 MONEY FED: $1.65 $1.65
2022-11-18T13:27:16.859026100 U-Chews A1 $1.65 $0.00
2022-11-18T13:27:16.862528700 MONEY FED: $5 $5
2022-11-18T13:27:16.869895300 MONEY FED: $0 $0
2022-11-18T13:27:16.870008500 CHANGE GIVEN $0 $0.00
2022-11-18T13:27:16.875845800 MONEY FED: $1.99 $1.99
2022-11-18T13:27:16.876344600 CHANGE GIVEN $1.99 $0.00
2022-11-18T13:27:16.880173500 MONEY FED: $3.75 $3.75
2022-11-18T13:27:16.880675300 CHANGE GIVEN $3.75 $0.00
2022-11-18T13:27:16.884926 MONEY FED: $7.25 $7.25
2022-11-18T13:27:16.884926 CHANGE GIVEN $7.25 $0.00
2022-11-18T13:27:16.892955200 MONEY FED: $0.64 $0.64
2022-11-18T13:27:16.896078300 MONEY FED: $0.65 $0.65
2022-11-18T13:27:16.896078300 U-Chews A1 $0.65 $0.00
2022-11-18T13:29:55.348263800 MONEY FED: $5 $5
2022-11-18T13:30:05.140358700 Ginger Ayle B1 $5 $3.15
2022-11-18T13:32:51.088983300 MONEY FED: $5 $5
2022-11-18T13:32:59.039613600 Ginger Ayle B1 $5 $3.15
2022-11-18T13:34:13.177379700 MONEY FED: $5 $5
2022-11-18T13:34:16.640536300 Ginger Ayle B1 $5 $3.15
2022-11-18T13:34:47.378405900 CHANGE GIVEN $3.15 $0.00
2022-11-18T13:37:37.906816500 MONEY FED: $5 $5
2022-11-18T13:37:44.922274100 U-Chews A1 $5 $3.35
2022-11-18T13:38:05.977259500 Stackers A2 $3.35 $1.70
2022-11-18T13:38:16.667468400 CHANGE GIVEN $1.70 $0.00
